Team,Week,PositiveRatio,NegativeRatio,TotalComments,Div,Home,Margin of Victory,Opponent,Playoff,Prime Time,Win-Lose
Arizona Cardinals,Week 1,0.5600794438927508,0.4399205561072492,1007,No,No,-6.0,Buffalo Bills,No,No,L
Atlanta Falcons,Week 1,0.4929906542056075,0.5070093457943925,428,No,Yes,-8.0,Pittsburgh Steelers,No,No,L
Carolina Panthers,Week 1,0.5651612903225807,0.4348387096774193,775,Yes,No,-37.0,New Orleans Saints,No,No,L
Cincinnati Bengals,Week 1,0.5298372513562387,0.4701627486437613,553,No,Yes,-6.0,New England Patriots,No,No,L
Cleveland Browns,Week 1,0.5853242320819113,0.4146757679180887,586,No,Yes,-16.0,Dallas Cowboys,No,No,L
Dallas Cowboys,Week 1,0.6524752475247525,0.3475247524752475,1010,No,No,16.0,Cleveland Browns,No,No,W
Denver Broncos,Week 1,0.5652777777777778,0.4347222222222222,720,No,No,-6.0,Seattle Seahawks,No,No,L
Detroit Lions,Week 1,0.6334012219959266,0.3665987780040733,491,No,Yes,6.0,Los Angeles Rams,No,Yes,W
Green Bay Packers,Week 1,0.5456674473067916,0.4543325526932084,427,No,Yes,-5.0,Philadelphia Eagles,No,Yes,L
Houston Texans,Week 1,0.7393310265282583,0.2606689734717416,867,Yes,No,2.0,Indianapolis Colts,No,No,W
Indianapolis Colts,Week 1,0.5228452751817237,0.4771547248182762,1926,Yes,Yes,-2.0,Houston Texans,No,No,L
Jacksonville Jaguars,Week 1,0.4543325526932084,0.5456674473067916,427,No,No,-3.0,Miami Dolphins,No,No,L
Kansas City Chiefs,Week 1,0.7286432160804021,0.271356783919598,597,No,Yes,7.0,Baltimore Ravens,No,Yes,W
Las Vegas Raiders,Week 1,0.6364551863041289,0.3635448136958711,993,Yes,No,-12.0,Los Angeles Chargers,No,No,L
Los Angeles Chargers,Week 1,0.7324561403508771,0.2675438596491228,456,Yes,Yes,12.0,Las Vegas Raiders,No,No,W
Los Angeles Rams,Week 1,0.5537848605577689,0.446215139442231,502,No,No,-6.0,Detroit Lions,No,Yes,L
Miami Dolphins,Week 1,0.5066666666666667,0.4933333333333333,375,No,Yes,3.0,Jacksonville Jaguars,No,No,W
Minnesota Vikings,Week 1,0.6865728413845569,0.3134271586154431,2629,No,No,22.0,New York Giants,No,No,W
New England Patriots,Week 1,0.7110912343470484,0.2889087656529517,1118,No,No,6.0,Cincinnati Bengals,No,No,W
New Orleans Saints,Week 1,0.7264150943396226,0.2735849056603773,106,Yes,Yes,37.0,Carolina Panthers,No,No,W
New York Giants,Week 1,0.4401041666666667,0.5598958333333334,384,No,Yes,-22.0,Minnesota Vikings,No,No,L
New York Jets,Week 1,0.562874251497006,0.437125748502994,501,No,No,-13.0,San Francisco 49ers,No,Yes,L
Philadelphia Eagles,Week 1,0.6836027713625866,0.3163972286374134,433,No,Yes,5.0,Green Bay Packers,No,Yes,W
Pittsburgh Steelers,Week 1,0.6301652892561983,0.3698347107438016,484,No,No,8.0,Atlanta Falcons,No,No,W
San Francisco 49ers,Week 1,0.6708333333333333,0.3291666666666666,480,No,Yes,13.0,New York Jets,No,Yes,W
Seattle Seahawks,Week 1,0.6983546617915904,0.3016453382084095,547,No,Yes,6.0,Denver Broncos,No,No,W
Tampa Bay Buccaneers,Week 1,0.6925795053003534,0.3074204946996466,283,No,Yes,17.0,Washington Commanders,No,No,W
Tennessee Titans,Week 1,0.5330188679245284,0.4669811320754717,636,No,No,-7.0,Chicago Bears,No,No,L
Washington Commanders,Week 1,0.6747491638795987,0.3252508361204013,1196,No,No,-17.0,Tampa Bay Buccaneers,No,No,L
Arizona Cardinals,Week 2,0.7583333333333333,0.2416666666666666,120,Yes,Yes,31.0,Los Angeles Rams,No,No,W
Atlanta Falcons,Week 2,0.7298701298701299,0.2701298701298701,385,No,No,1.0,Philadelphia Eagles,No,Yes,W
Baltimore Ravens,Week 2,0.4592274678111588,0.5407725321888412,466,No,Yes,-3.0,Las Vegas Raiders,No,No,L
Buffalo Bills,Week 2,0.6909090909090909,0.3090909090909091,550,Yes,No,21.0,Miami Dolphins,No,Yes,W
Carolina Panthers,Week 2,0.4002677376171352,0.5997322623828648,747,No,Yes,-23.0,Los Angeles Chargers,No,No,L
Chicago Bears,Week 2,0.4581395348837209,0.541860465116279,430,No,No,-6.0,Houston Texans,No,Yes,L
Cincinnati Bengals,Week 2,0.4908835904628331,0.5091164095371669,713,No,No,-1.0,Kansas City Chiefs,No,No,L
Cleveland Browns,Week 2,0.5924764890282131,0.4075235109717868,638,No,No,5.0,Jacksonville Jaguars,No,No,W
Dallas Cowboys,Week 2,0.4374282433983926,0.5625717566016073,871,No,Yes,-25.0,New Orleans Saints,No,No,L
Denver Broncos,Week 2,0.5857687420584498,0.4142312579415502,787,No,Yes,-7.0,Pittsburgh Steelers,No,No,L
Houston Texans,Week 2,0.4910344827586207,0.5089655172413793,725,No,Yes,6.0,Chicago Bears,No,Yes,W
Indianapolis Colts,Week 2,0.7421768707482993,0.2578231292517007,1470,No,No,-6.0,Green Bay Packers,No,No,L
Jacksonville Jaguars,Week 2,0.5402298850574713,0.4597701149425287,87,No,Yes,-5.0,Cleveland Browns,No,No,L
Kansas City Chiefs,Week 2,0.6454248366013072,0.3545751633986928,612,No,Yes,1.0,Cincinnati Bengals,No,No,W
Las Vegas Raiders,Week 2,0.7207207207207207,0.2792792792792792,444,No,No,3.0,Baltimore Ravens,No,No,W
Los Angeles Chargers,Week 2,0.5879659908436887,0.4120340091563113,1529,No,No,23.0,Carolina Panthers,No,No,W
Los Angeles Rams,Week 2,0.4970414201183432,0.5029585798816568,169,Yes,No,-31.0,Arizona Cardinals,No,No,L
Miami Dolphins,Week 2,0.5655296229802513,0.4344703770197486,557,Yes,Yes,-21.0,Buffalo Bills,No,Yes,L
Pittsburgh Steelers,Week 2,0.6280254777070063,0.3719745222929936,785,No,No,7.0,Denver Broncos,No,No,W
Seattle Seahawks,Week 2,0.6559633027522935,0.3440366972477064,654,No,No,3.0,New England Patriots,No,No,W
Washington Commanders,Week 2,0.7262247838616714,0.2737752161383285,1041,Yes,Yes,3.0,New York Giants,No,No,W
Atlanta Falcons,Week 3,0.5013123359580053,0.4986876640419947,762,No,Yes,-5.0,Kansas City Chiefs,No,Yes,L
Chicago Bears,Week 3,0.5785536159600998,0.4214463840399002,401,No,No,-5.0,Indianapolis Colts,No,No,L
Cleveland Browns,Week 3,0.4796116504854369,0.5203883495145631,515,No,Yes,-6.0,New York Giants,No,No,L
Detroit Lions,Week 3,0.4605873261205564,0.5394126738794436,647,No,No,7.0,Arizona Cardinals,No,No,W
Green Bay Packers,Week 3,0.7349137931034483,0.2650862068965517,464,No,No,16.0,Tennessee Titans,No,No,W
Indianapolis Colts,Week 3,0.4557932983447719,0.5442067016552281,2477,No,Yes,5.0,Chicago Bears,No,No,W
Las Vegas Raiders,Week 3,0.5994694960212201,0.4005305039787798,754,No,Yes,-14.0,Carolina Panthers,No,No,L
Los Angeles Chargers,Week 3,0.7362560890744607,0.2637439109255393,1437,No,No,-10.0,Pittsburgh Steelers,No,No,L
Los Angeles Rams,Week 3,0.7387580299785867,0.2612419700214132,467,Yes,Yes,3.0,San Francisco 49ers,No,No,W
Miami Dolphins,Week 3,0.6202990484821024,0.3797009515178976,2207,No,No,-21.0,Seattle Seahawks,No,No,L
Minnesota Vikings,Week 3,0.7559366754617414,0.2440633245382585,758,No,Yes,27.0,Houston Texans,No,No,W
New York Giants,Week 3,0.6688034188034188,0.3311965811965812,468,No,No,6.0,Cleveland Browns,No,No,W
New York Jets,Week 3,0.7627118644067796,0.2372881355932203,413,Yes,Yes,21.0,New England Patriots,No,Yes,W
San Francisco 49ers,Week 3,0.4207746478873239,0.579225352112676,568,Yes,No,-3.0,Los Angeles Rams,No,No,L
Tampa Bay Buccaneers,Week 3,0.5,0.5,440,No,Yes,-19.0,Denver Broncos,No,No,L
Arizona Cardinals,Week 4,0.5579868708971554,0.4420131291028446,914,No,Yes,-28.0,Washington Commanders,No,No,L
Baltimore Ravens,Week 4,0.7272727272727273,0.2727272727272727,649,No,Yes,25.0,Buffalo Bills,No,Yes,W
Carolina Panthers,Week 4,0.6752688172043011,0.3247311827956989,465,No,Yes,-10.0,Cincinnati Bengals,No,No,L
Chicago Bears,Week 4,0.7571428571428571,0.2428571428571428,420,No,Yes,6.0,Los Angeles Rams,No,No,W
Cleveland Browns,Week 4,0.5458937198067633,0.4541062801932367,621,No,No,-4.0,Las Vegas Raiders,No,No,L
Detroit Lions,Week 4,0.65,0.35,700,No,Yes,13.0,Seattle Seahawks,No,Yes,W
Houston Texans,Week 4,0.5109090909090909,0.4890909090909091,1650,Yes,Yes,4.0,Jacksonville Jaguars,No,No,W
Indianapolis Colts,Week 4,0.608786610878661,0.3912133891213389,478,No,Yes,3.0,Pittsburgh Steelers,No,No,W
Jacksonville Jaguars,Week 4,0.7121346324180691,0.2878653675819309,1129,Yes,No,-4.0,Houston Texans,No,No,L
Kansas City Chiefs,Week 4,0.6937901498929336,0.3062098501070663,467,Yes,No,7.0,Los Angeles Chargers,No,No,W
Miami Dolphins,Week 4,0.411214953271028,0.5887850467289719,749,No,Yes,-19.0,Tennessee Titans,No,Yes,L
Minnesota Vikings,Week 4,0.6087301587301587,0.3912698412698412,1260,Yes,No,2.0,Green Bay Packers,No,No,W
New England Patriots,Week 4,0.5237580993520519,0.4762419006479482,926,No,No,-17.0,San Francisco 49ers,No,No,L
New Orleans Saints,Week 4,0.518578352180937,0.481421647819063,619,Yes,No,-2.0,Atlanta Falcons,No,No,L
Philadelphia Eagles,Week 4,0.416452442159383,0.583547557840617,389,No,No,-17.0,Tampa Bay Buccaneers,No,No,L
Tennessee Titans,Week 4,0.5003219575016098,0.4996780424983902,1553,No,No,19.0,Miami Dolphins,No,Yes,W
Washington Commanders,Week 4,0.6828358208955224,0.3171641791044776,536,No,No,28.0,Arizona Cardinals,No,No,W
Arizona Cardinals,Week 5,0.7747035573122529,0.225296442687747,253,Yes,No,1.0,San Francisco 49ers,No,No,W
Baltimore Ravens,Week 5,0.653211009174312,0.3467889908256881,545,Yes,No,3.0,Cincinnati Bengals,No,No,W
Chicago Bears,Week 5,0.6476683937823834,0.3523316062176165,386,No,Yes,26.0,Carolina Panthers,No,No,W
Cincinnati Bengals,Week 5,0.4074074074074074,0.5925925925925926,486,Yes,Yes,-3.0,Baltimore Ravens,No,No,L
Green Bay Packers,Week 5,0.7213114754098361,0.2786885245901639,488,No,No,5.0,Los Angeles Rams,No,No,W
Indianapolis Colts,Week 5,0.3928571428571428,0.6071428571428571,1176,Yes,No,-3.0,Jacksonville Jaguars,No,No,L
Jacksonville Jaguars,Week 5,0.6148282097649186,0.3851717902350813,553,Yes,Yes,3.0,Indianapolis Colts,No,No,W
Kansas City Chiefs,Week 5,0.7676190476190476,0.2323809523809523,525,No,Yes,13.0,New Orleans Saints,No,Yes,W
Las Vegas Raiders,Week 5,0.5501543209876543,0.4498456790123457,1296,Yes,No,-16.0,Denver Broncos,No,No,L
New England Patriots,Week 5,0.4655581947743468,0.5344418052256532,421,Yes,Yes,-5.0,Miami Dolphins,No,No,L
New York Giants,Week 5,0.752913752913753,0.247086247086247,429,No,No,9.0,Seattle Seahawks,No,No,W
Pittsburgh Steelers,Week 5,0.4668820678513732,0.5331179321486268,619,No,Yes,-3.0,Dallas Cowboys,No,Yes,L
Seattle Seahawks,Week 5,0.4700193423597679,0.5299806576402321,517,No,Yes,-9.0,New York Giants,No,No,L
Tampa Bay Buccaneers,Week 5,0.4436781609195402,0.5563218390804597,435,Yes,No,-6.0,Atlanta Falcons,No,Yes,L
Washington Commanders,Week 5,0.7226027397260274,0.2773972602739726,292,No,Yes,21.0,Cleveland Browns,No,No,W
Baltimore Ravens,Week 6,0.6764705882352942,0.3235294117647059,1462,No,Yes,7.0,Washington Commanders,No,No,W
Carolina Panthers,Week 6,0.8075601374570447,0.1924398625429553,291,Yes,Yes,-18.0,Atlanta Falcons,No,No,L
Chicago Bears,Week 6,0.6925133689839572,0.3074866310160428,374,No,Yes,19.0,Jacksonville Jaguars,No,No,W
Denver Broncos,Week 6,0.584056399132321,0.4159436008676789,1844,No,Yes,-7.0,Los Angeles Chargers,No,No,L
Green Bay Packers,Week 6,0.6200873362445415,0.3799126637554585,687,No,Yes,21.0,Arizona Cardinals,No,No,W
Indianapolis Colts,Week 6,0.7078313253012049,0.2921686746987952,332,Yes,No,3.0,Tennessee Titans,No,No,W
Jacksonville Jaguars,Week 6,0.4944812362030905,0.5055187637969095,453,No,Yes,-19.0,Chicago Bears,No,No,L
Las Vegas Raiders,Week 6,0.771,0.229,1000,No,Yes,-19.0,Pittsburgh Steelers,No,No,L
Los Angeles Chargers,Week 6,0.7130242825607064,0.2869757174392936,906,Yes,No,7.0,Denver Broncos,No,No,W
New York Giants,Week 6,0.5296703296703297,0.4703296703296703,455,No,Yes,-10.0,Cincinnati Bengals,No,Yes,L
Seattle Seahawks,Week 6,0.5619425173439049,0.4380574826560951,1009,Yes,Yes,-12.0,San Francisco 49ers,No,Yes,L
Carolina Panthers,Week 7,0.6647196261682243,0.3352803738317757,856,No,No,-33.0,Washington Commanders,No,No,L
Denver Broncos,Week 7,0.6670731707317074,0.3329268292682927,820,No,No,23.0,New Orleans Saints,No,Yes,W
Detroit Lions,Week 7,0.5566343042071198,0.4433656957928802,618,Yes,No,2.0,Minnesota Vikings,No,No,W
Green Bay Packers,Week 7,0.6829787234042554,0.3170212765957447,470,No,Yes,2.0,Houston Texans,No,No,W
Houston Texans,Week 7,0.356234096692112,0.6437659033078881,786,No,No,-2.0,Green Bay Packers,No,No,L
Indianapolis Colts,Week 7,0.5405807892777365,0.4594192107222636,1343,No,Yes,6.0,Miami Dolphins,No,No,W
Jacksonville Jaguars,Week 7,0.7995951417004049,0.2004048582995951,494,No,Yes,16.0,New England Patriots,No,No,W
Los Angeles Rams,Week 7,0.7045454545454546,0.2954545454545454,264,No,Yes,5.0,Las Vegas Raiders,No,No,W
Miami Dolphins,Week 7,0.3816155988857939,0.6183844011142061,359,No,No,-6.0,Indianapolis Colts,No,No,L
Minnesota Vikings,Week 7,0.522911051212938,0.477088948787062,371,Yes,Yes,-2.0,Detroit Lions,No,No,L
New England Patriots,Week 7,0.5520169851380042,0.4479830148619957,471,No,Yes,-16.0,Jacksonville Jaguars,No,No,L
New Orleans Saints,Week 7,0.4424460431654676,0.5575539568345323,556,No,Yes,-23.0,Denver Broncos,No,Yes,L
New York Giants,Week 7,0.505720823798627,0.494279176201373,437,Yes,Yes,-25.0,Philadelphia Eagles,No,No,L
New York Jets,Week 7,0.5060728744939271,0.4939271255060729,494,No,No,-22.0,Pittsburgh Steelers,No,Yes,L
Philadelphia Eagles,Week 7,0.6725838264299803,0.3274161735700197,507,Yes,No,25.0,New York Giants,No,No,W
Pittsburgh Steelers,Week 7,0.6872727272727273,0.3127272727272727,550,No,Yes,19.0,New York Jets,No,Yes,W
San Francisco 49ers,Week 7,0.6546762589928058,0.3453237410071942,834,No,Yes,-10.0,Kansas City Chiefs,No,No,L
Seattle Seahawks,Week 7,0.568955223880597,0.431044776119403,1675,No,No,20.0,Atlanta Falcons,No,No,W
Tampa Bay Buccaneers,Week 7,0.4720194647201946,0.5279805352798054,411,No,Yes,-10.0,Baltimore Ravens,No,Yes,L
Arizona Cardinals,Week 8,0.6693227091633466,0.3306772908366533,251,No,No,1.0,Miami Dolphins,No,No,W
Atlanta Falcons,Week 8,0.5910780669144982,0.4089219330855018,538,Yes,No,5.0,Tampa Bay Buccaneers,No,No,W
Chicago Bears,Week 8,0.3969849246231156,0.6030150753768844,398,No,No,-3.0,Washington Commanders,No,No,L
Dallas Cowboys,Week 8,0.5495934959349593,0.4504065040650406,615,No,No,-6.0,San Francisco 49ers,No,Yes,L
Detroit Lions,Week 8,0.7057728119180633,0.2942271880819367,537,No,Yes,38.0,Tennessee Titans,No,No,W
Indianapolis Colts,Week 8,0.4163265306122449,0.5836734693877551,735,Yes,No,-3.0,Houston Texans,No,No,L
Kansas City Chiefs,Week 8,0.5893271461716937,0.4106728538283062,431,Yes,No,7.0,Las Vegas Raiders,No,No,W
Las Vegas Raiders,Week 8,0.5102040816326531,0.4897959183673469,245,Yes,Yes,-7.0,Kansas City Chiefs,No,No,L
Los Angeles Chargers,Week 8,0.6256983240223464,0.3743016759776536,358,No,Yes,18.0,New Orleans Saints,No,No,W
Los Angeles Rams,Week 8,0.6425531914893617,0.3574468085106383,470,No,Yes,10.0,Minnesota Vikings,No,Yes,W
Miami Dolphins,Week 8,0.5415472779369628,0.4584527220630373,349,No,Yes,-1.0,Arizona Cardinals,No,No,L
Minnesota Vikings,Week 8,0.4506578947368421,0.5493421052631579,608,No,No,-10.0,Los Angeles Rams,No,Yes,L
New England Patriots,Week 8,0.454172366621067,0.5458276333789329,731,Yes,Yes,3.0,New York Jets,No,No,W
New Orleans Saints,Week 8,0.5306122448979592,0.4693877551020408,98,No,No,-18.0,Los Angeles Chargers,No,No,L
New York Giants,Week 8,0.6287787182587666,0.3712212817412333,827,No,No,-8.0,Pittsburgh Steelers,No,Yes,L
Philadelphia Eagles,Week 8,0.6368159203980099,0.36318407960199,402,No,No,20.0,Cincinnati Bengals,No,No,W
Pittsburgh Steelers,Week 8,0.7607802874743327,0.2392197125256673,974,No,Yes,8.0,New York Giants,No,Yes,W
San Francisco 49ers,Week 8,0.5850340136054422,0.4149659863945578,588,No,Yes,6.0,Dallas Cowboys,No,Yes,W
Seattle Seahawks,Week 8,0.5411954765751211,0.4588045234248788,619,No,Yes,-21.0,Buffalo Bills,No,No,L
Tampa Bay Buccaneers,Week 8,0.6731866340668297,0.3268133659331703,1227,Yes,Yes,-5.0,Atlanta Falcons,No,No,L
Tennessee Titans,Week 8,0.5094339622641509,0.490566037735849,583,No,No,-38.0,Detroit Lions,No,No,L
Arizona Cardinals,Week 9,0.6258351893095768,0.3741648106904232,449,No,Yes,20.0,Chicago Bears,No,No,W
Baltimore Ravens,Week 9,0.5977808599167822,0.4022191400832177,721,No,Yes,31.0,Denver Broncos,No,No,W
Buffalo Bills,Week 9,0.5957446808510638,0.4042553191489361,423,Yes,Yes,3.0,Miami Dolphins,No,No,W
Chicago Bears,Week 9,0.3430851063829787,0.6569148936170213,376,No,No,-20.0,Arizona Cardinals,No,No,L
Cincinnati Bengals,Week 9,0.6926345609065155,0.3073654390934844,706,No,Yes,17.0,Las Vegas Raiders,No,No,W
Cleveland Browns,Week 9,0.6420545746388443,0.3579454253611557,1246,No,Yes,-17.0,Los Angeles Chargers,No,No,L
Denver Broncos,Week 9,0.7142857142857143,0.2857142857142857,1211,No,No,-31.0,Baltimore Ravens,No,No,L
Indianapolis Colts,Week 9,0.5845864661654135,0.4154135338345864,532,No,No,-8.0,Minnesota Vikings,No,Yes,L
Jacksonville Jaguars,Week 9,0.4619047619047619,0.5380952380952381,420,No,No,-5.0,Philadelphia Eagles,No,No,L
Las Vegas Raiders,Week 9,0.6830357142857143,0.3169642857142857,448,No,No,-17.0,Cincinnati Bengals,No,No,L
Miami Dolphins,Week 9,0.5414364640883977,0.4585635359116022,362,Yes,No,-3.0,Buffalo Bills,No,No,L
Minnesota Vikings,Week 9,0.6939252336448598,0.3060747663551402,856,No,Yes,8.0,Indianapolis Colts,No,Yes,W
New York Giants,Week 9,0.5552486187845304,0.4447513812154696,362,Yes,Yes,-5.0,Washington Commanders,No,No,L
Philadelphia Eagles,Week 9,0.5338345864661654,0.4661654135338345,399,No,Yes,5.0,Jacksonville Jaguars,No,No,W
Tampa Bay Buccaneers,Week 9,0.45610278372591,0.5438972162740899,467,No,No,-6.0,Kansas City Chiefs,No,Yes,L
Atlanta Falcons,Week 10,0.502283105022831,0.4977168949771689,876,Yes,No,-3.0,New Orleans Saints,No,No,L
Baltimore Ravens,Week 10,0.5517241379310345,0.4482758620689655,667,Yes,Yes,1.0,Cincinnati Bengals,No,Yes,W
Buffalo Bills,Week 10,0.4200863930885529,0.5799136069114471,926,No,No,10.0,Indianapolis Colts,No,No,W
Carolina Panthers,Week 10,0.7908902691511387,0.2091097308488612,483,No,Yes,3.0,New York Giants,No,No,W
Chicago Bears,Week 10,0.4096692111959287,0.5903307888040712,393,No,Yes,-16.0,New England Patriots,No,No,L
Cincinnati Bengals,Week 10,0.4719298245614035,0.5280701754385965,570,Yes,No,-1.0,Baltimore Ravens,No,Yes,L
Dallas Cowboys,Week 10,0.4789644012944983,0.5210355987055016,618,Yes,Yes,-28.0,Philadelphia Eagles,No,No,L
Denver Broncos,Week 10,0.4322469982847341,0.5677530017152659,583,Yes,No,-2.0,Kansas City Chiefs,No,No,L
Detroit Lions,Week 10,0.5568181818181818,0.4431818181818182,352,No,No,3.0,Houston Texans,No,Yes,W
Houston Texans,Week 10,0.3734290843806104,0.6265709156193896,557,No,Yes,-3.0,Detroit Lions,No,Yes,L
Indianapolis Colts,Week 10,0.4850498338870432,0.5149501661129569,301,No,Yes,-10.0,Buffalo Bills,No,No,L
Jacksonville Jaguars,Week 10,0.4690346083788707,0.5309653916211293,1098,No,Yes,-5.0,Minnesota Vikings,No,No,L
Kansas City Chiefs,Week 10,0.647450110864745,0.352549889135255,451,Yes,Yes,2.0,Denver Broncos,No,No,W
Los Angeles Chargers,Week 10,0.756993006993007,0.243006993006993,572,No,Yes,10.0,Tennessee Titans,No,No,W
Miami Dolphins,Week 10,0.476056338028169,0.523943661971831,355,No,No,8.0,Los Angeles Rams,No,Yes,W
Minnesota Vikings,Week 10,0.570855614973262,0.4291443850267379,748,No,No,5.0,Jacksonville Jaguars,No,No,W
New York Giants,Week 10,0.571078431372549,0.4289215686274509,408,No,Yes,-3.0,Carolina Panthers,No,No,L
New York Jets,Week 10,0.5102739726027398,0.4897260273972603,584,No,No,-25.0,Arizona Cardinals,No,No,L
Philadelphia Eagles,Week 10,0.7343976777939042,0.2656023222060958,689,Yes,No,28.0,Dallas Cowboys,No,No,W
San Francisco 49ers,Week 10,0.5,0.5,840,No,No,3.0,Tampa Bay Buccaneers,No,No,W
Tennessee Titans,Week 10,0.5410447761194029,0.458955223880597,1608,No,No,-10.0,Los Angeles Chargers,No,No,L
Atlanta Falcons,Week 11,0.5641025641025641,0.4358974358974359,273,No,No,-32.0,Denver Broncos,No,No,L
Buffalo Bills,Week 11,0.7174887892376681,0.2825112107623318,446,No,Yes,9.0,Kansas City Chiefs,No,No,W
Cincinnati Bengals,Week 11,0.6068965517241379,0.3931034482758621,725,No,No,-7.0,Los Angeles Chargers,No,Yes,L
Cleveland Browns,Week 11,0.5337423312883436,0.4662576687116564,1304,No,No,-21.0,New Orleans Saints,No,No,L
Dallas Cowboys,Week 11,0.5893970893970893,0.4106029106029106,962,No,Yes,-24.0,Houston Texans,No,Yes,L
Denver Broncos,Week 11,0.6445497630331753,0.3554502369668246,1266,No,Yes,32.0,Atlanta Falcons,No,No,W
