Team,Week,PositiveRatio,NegativeRatio,TotalComments,Div,Home,Margin of Victory,Opponent,Playoff,Prime Time,Win-Lose
Detroit Lions,Week 11,0.5841059602649007,0.4158940397350993,755,No,Yes,46.0,Jacksonville Jaguars,No,No,W
Green Bay Packers,Week 11,0.6644591611479028,0.3355408388520971,453,Yes,No,1.0,Chicago Bears,No,No,W
Houston Texans,Week 11,0.5211726384364821,0.4788273615635179,307,No,No,24.0,Dallas Cowboys,No,Yes,W
Las Vegas Raiders,Week 11,0.7092511013215859,0.2907488986784141,227,No,No,-15.0,Miami Dolphins,No,No,L
Los Angeles Rams,Week 11,0.6770833333333334,0.3229166666666667,192,No,No,6.0,New England Patriots,No,No,W
New York Jets,Week 11,0.5136476426799007,0.4863523573200992,403,No,Yes,-1.0,Indianapolis Colts,No,No,L
Seattle Seahawks,Week 11,0.6444444444444445,0.3555555555555555,495,Yes,No,3.0,San Francisco 49ers,No,No,W
Washington Commanders,Week 11,0.4804063860667634,0.5195936139332366,689,Yes,No,-8.0,Philadelphia Eagles,No,Yes,L
Carolina Panthers,Week 12,0.6633663366336634,0.3366336633663366,1616,No,Yes,-3.0,Kansas City Chiefs,No,No,L
Chicago Bears,Week 12,0.5845070422535211,0.4154929577464789,426,Yes,Yes,-3.0,Minnesota Vikings,No,No,L
Cleveland Browns,Week 12,0.6978021978021978,0.3021978021978022,546,Yes,Yes,5.0,Pittsburgh Steelers,No,Yes,W
Dallas Cowboys,Week 12,0.7372577171572147,0.2627422828427853,1393,Yes,No,8.0,Washington Commanders,No,No,W
Green Bay Packers,Week 12,0.7386609071274298,0.2613390928725702,463,No,Yes,28.0,San Francisco 49ers,No,No,W
Houston Texans,Week 12,0.3752212389380531,0.6247787610619469,565,Yes,Yes,-5.0,Tennessee Titans,No,No,L
Indianapolis Colts,Week 12,0.5508317929759704,0.4491682070240296,541,No,Yes,-18.0,Detroit Lions,No,No,L
Kansas City Chiefs,Week 12,0.6048951048951049,0.3951048951048951,572,No,No,3.0,Carolina Panthers,No,No,W
Las Vegas Raiders,Week 12,0.6425339366515838,0.3574660633484163,221,Yes,Yes,-10.0,Denver Broncos,No,No,L
New York Giants,Week 12,0.614138438880707,0.3858615611192931,679,No,Yes,-23.0,Tampa Bay Buccaneers,No,No,L
Philadelphia Eagles,Week 12,0.5885558583106267,0.4114441416893733,367,No,No,17.0,Los Angeles Rams,No,Yes,W
Pittsburgh Steelers,Week 12,0.4756995581737849,0.524300441826215,679,Yes,No,-5.0,Cleveland Browns,No,Yes,L
Baltimore Ravens,Week 13,0.573394495412844,0.4266055045871559,872,No,Yes,-5.0,Philadelphia Eagles,No,No,L
Denver Broncos,Week 13,0.6075036075036075,0.3924963924963925,693,No,Yes,9.0,Cleveland Browns,No,Yes,W
Miami Dolphins,Week 13,0.4369973190348525,0.5630026809651475,373,No,No,-13.0,Green Bay Packers,No,Yes,L
New York Giants,Week 13,0.5427927927927928,0.4572072072072072,888,Yes,No,-7.0,Dallas Cowboys,No,Yes,L
San Francisco 49ers,Week 13,0.484240687679083,0.5157593123209169,1047,No,No,-25.0,Buffalo Bills,No,Yes,L
Chicago Bears,Week 14,0.4778947368421052,0.5221052631578947,475,No,No,-25.0,San Francisco 49ers,No,No,L
Jacksonville Jaguars,Week 14,0.791015625,0.208984375,512,Yes,No,4.0,Tennessee Titans,No,No,W
Miami Dolphins,Week 14,0.3269230769230769,0.6730769230769231,52,Yes,Yes,8.0,New York Jets,No,No,W
Minnesota Vikings,Week 14,0.8353151010701546,0.1646848989298454,1682,No,Yes,21.0,Atlanta Falcons,No,No,W
New Orleans Saints,Week 14,0.6949152542372882,0.3050847457627119,118,No,No,3.0,New York Giants,No,No,W
New York Giants,Week 14,0.711738484398217,0.288261515601783,673,No,Yes,-3.0,New Orleans Saints,No,No,L
Pittsburgh Steelers,Week 14,0.3153988868274582,0.6846011131725418,1078,Yes,Yes,13.0,Cleveland Browns,No,No,W
Seattle Seahawks,Week 14,0.5736040609137056,0.4263959390862944,985,Yes,No,12.0,Arizona Cardinals,No,No,W
Tampa Bay Buccaneers,Week 14,0.8394276629570747,0.1605723370429252,629,No,Yes,15.0,Las Vegas Raiders,No,No,W
Tennessee Titans,Week 14,0.6251862891207154,0.3748137108792846,1342,Yes,Yes,-4.0,Jacksonville Jaguars,No,No,L
Atlanta Falcons,Week 15,0.5397111913357401,0.4602888086642599,554,No,No,6.0,Las Vegas Raiders,No,Yes,W
Baltimore Ravens,Week 15,0.4387755102040816,0.5612244897959183,196,No,No,21.0,New York Giants,No,No,W
Buffalo Bills,Week 15,0.5914149443561209,0.4085850556438791,629,No,No,6.0,Detroit Lions,No,No,W
Chicago Bears,Week 15,0.5047438330170778,0.4952561669829222,527,Yes,No,-18.0,Minnesota Vikings,No,Yes,L
Dallas Cowboys,Week 15,0.7585089141004863,0.2414910858995137,617,No,No,16.0,Carolina Panthers,No,No,W
Detroit Lions,Week 15,0.6503164556962026,0.3496835443037974,632,No,Yes,-6.0,Buffalo Bills,No,No,L
Houston Texans,Week 15,0.7124563445867288,0.2875436554132712,859,No,Yes,8.0,Miami Dolphins,No,No,W
Indianapolis Colts,Week 15,0.6439732142857143,0.3560267857142857,896,No,No,-18.0,Denver Broncos,No,No,L
New England Patriots,Week 15,0.6451612903225806,0.3548387096774194,2201,No,No,-13.0,Arizona Cardinals,No,No,L
Seattle Seahawks,Week 16,0.5502873563218391,0.4497126436781609,696,No,Yes,-3.0,Minnesota Vikings,No,No,L
Tampa Bay Buccaneers,Week 16,0.6198581560283688,0.3801418439716312,705,No,No,-2.0,Dallas Cowboys,No,Yes,L
Tennessee Titans,Week 16,0.5623188405797102,0.4376811594202898,2415,Yes,No,-8.0,Indianapolis Colts,No,No,L
Washington Commanders,Week 16,0.6244725738396625,0.3755274261603376,474,Yes,Yes,3.0,Philadelphia Eagles,No,No,W
Arizona Cardinals,Week 17,0.6177606177606177,0.3822393822393822,1295,Yes,No,-4.0,Los Angeles Rams,No,Yes,L
Atlanta Falcons,Week 17,0.4275184275184275,0.5724815724815725,407,No,No,-6.0,Washington Commanders,No,Yes,L
Baltimore Ravens,Week 17,0.6717948717948717,0.3282051282051282,195,No,No,29.0,Houston Texans,No,Yes,W
Buffalo Bills,Week 17,0.6847034339229969,0.3152965660770031,961,Yes,Yes,26.0,New York Jets,No,No,W
Carolina Panthers,Week 17,0.8679950186799502,0.1320049813200498,803,Yes,No,-34.0,Tampa Bay Buccaneers,No,No,L
Chicago Bears,Week 17,0.3508771929824561,0.6491228070175439,399,No,Yes,-3.0,Seattle Seahawks,No,Yes,L
Cincinnati Bengals,Week 17,0.5798045602605864,0.4201954397394137,921,No,Yes,6.0,Denver Broncos,No,Yes,W
Cleveland Browns,Week 17,0.6976351351351351,0.3023648648648648,1776,No,Yes,-17.0,Miami Dolphins,No,No,L
Dallas Cowboys,Week 17,0.662613981762918,0.3373860182370821,329,Yes,No,-34.0,Philadelphia Eagles,No,No,L
Denver Broncos,Week 17,0.4949899799599198,0.5050100200400801,499,No,No,-6.0,Cincinnati Bengals,No,Yes,L
Detroit Lions,Week 17,0.6441947565543071,0.3558052434456928,534,No,No,6.0,San Francisco 49ers,No,Yes,W
Green Bay Packers,Week 17,0.6207674943566591,0.3792325056433409,443,Yes,No,-2.0,Minnesota Vikings,No,No,L
Houston Texans,Week 17,0.5742904841402338,0.4257095158597663,599,No,Yes,-29.0,Baltimore Ravens,No,Yes,L
Indianapolis Colts,Week 17,0.5534407027818448,0.4465592972181552,683,No,No,-12.0,New York Giants,No,No,L
Jacksonville Jaguars,Week 17,0.6346749226006192,0.3653250773993808,323,Yes,Yes,7.0,Tennessee Titans,No,No,W
Kansas City Chiefs,Week 17,0.7221633085896076,0.2778366914103923,943,No,No,19.0,Pittsburgh Steelers,No,Yes,W
Las Vegas Raiders,Week 17,0.5930568948891032,0.4069431051108968,1037,No,No,15.0,New Orleans Saints,No,No,W
Los Angeles Chargers,Week 17,0.3830188679245283,0.6169811320754717,530,No,No,33.0,New England Patriots,No,Yes,W
Los Angeles Rams,Week 17,0.4626865671641791,0.5373134328358209,469,Yes,Yes,4.0,Arizona Cardinals,No,Yes,W
Miami Dolphins,Week 17,0.4874651810584958,0.5125348189415042,359,No,No,17.0,Cleveland Browns,No,No,W
Minnesota Vikings,Week 17,0.6765067650676507,0.3234932349323493,813,Yes,Yes,2.0,Green Bay Packers,No,No,W
New England Patriots,Week 17,0.5622489959839357,0.4377510040160642,498,No,Yes,-33.0,Los Angeles Chargers,No,Yes,L
New Orleans Saints,Week 17,0.701195219123506,0.298804780876494,251,No,Yes,-15.0,Las Vegas Raiders,No,No,L
New York Giants,Week 17,0.4949748743718593,0.5050251256281407,398,No,Yes,12.0,Indianapolis Colts,No,No,W
New York Jets,Week 17,0.6364251861882194,0.3635748138117806,1477,Yes,No,-26.0,Buffalo Bills,No,No,L
Philadelphia Eagles,Week 17,0.5963060686015831,0.4036939313984168,379,Yes,Yes,34.0,Dallas Cowboys,No,No,W
Pittsburgh Steelers,Week 17,0.5746388443017657,0.4253611556982343,623,No,Yes,-19.0,Kansas City Chiefs,No,Yes,L
San Francisco 49ers,Week 17,0.6528046421663443,0.3471953578336557,1034,No,Yes,-6.0,Detroit Lions,No,Yes,L
Seattle Seahawks,Week 17,0.63718820861678,0.3628117913832199,441,No,No,3.0,Chicago Bears,No,Yes,W
Tampa Bay Buccaneers,Week 17,0.5841121495327103,0.4158878504672897,214,Yes,Yes,34.0,Carolina Panthers,No,No,W
Tennessee Titans,Week 17,0.6658536585365854,0.3341463414634146,410,Yes,No,-7.0,Jacksonville Jaguars,No,No,L
Washington Commanders,Week 17,0.6229885057471264,0.3770114942528735,435,No,Yes,6.0,Atlanta Falcons,No,Yes,W
Arizona Cardinals,Week 18,0.6027397260273972,0.3972602739726027,73,Yes,Yes,23.0,San Francisco 49ers,No,No,W
Atlanta Falcons,Week 18,0.5277777777777778,0.4722222222222222,396,Yes,Yes,-6.0,Carolina Panthers,No,No,L
Pittsburgh Steelers,Wild Card,0.5668549905838042,0.4331450094161959,531,Yes,No,-14.0,Baltimore Ravens,Yes,Yes,L
Tampa Bay Buccaneers,Wild Card,0.5798816568047337,0.4201183431952662,845,No,Yes,-3.0,Washington Commanders,Yes,Yes,L
Washington Commanders,Wild Card,0.6452905811623246,0.3547094188376753,499,No,No,3.0,Tampa Bay Buccaneers,Yes,Yes,W
Baltimore Ravens,Division,0.4668949771689498,0.5331050228310502,876,No,No,-2.0,Buffalo Bills,Yes,Yes,L
Buffalo Bills,Division,0.7754010695187166,0.2245989304812834,561,No,Yes,2.0,Baltimore Ravens,Yes,Yes,W
Detroit Lions,Division,0.5480916030534351,0.4519083969465648,655,No,Yes,-14.0,Washington Commanders,Yes,Yes,L
Houston Texans,Division,0.5188834154351396,0.4811165845648604,609,No,No,-9.0,Kansas City Chiefs,Yes,Yes,L
Kansas City Chiefs,Division,0.6149532710280374,0.3850467289719626,535,No,Yes,9.0,Houston Texans,Yes,Yes,W
Los Angeles Rams,Division,0.5447470817120622,0.4552529182879377,514,No,No,-6.0,Philadelphia Eagles,Yes,Yes,L
Philadelphia Eagles,Division,0.6273584905660378,0.3726415094339622,424,No,Yes,6.0,Los Angeles Rams,Yes,Yes,W
Washington Commanders,Division,0.7484787018255578,0.2515212981744422,493,No,No,14.0,Detroit Lions,Yes,Yes,W
Buffalo Bills,Championship,0.4248927038626609,0.575107296137339,699,No,No,-3.0,Kansas City Chiefs,Yes,Yes,L
Kansas City Chiefs,Championship,0.6966067864271457,0.3033932135728543,501,No,Yes,3.0,Buffalo Bills,Yes,Yes,W
Philadelphia Eagles,Championship,0.6024390243902439,0.3975609756097561,410,Yes,Yes,32.0,Washington Commanders,Yes,Yes,W
Washington Commanders,Championship,0.5764023210831721,0.4235976789168278,517,Yes,No,-32.0,Philadelphia Eagles,Yes,Yes,L
Kansas City Chiefs,Super Bowl,0.520949720670391,0.4790502793296089,716,No,No,-18.0,Philadelphia Eagles,Yes,Yes,L
Philadelphia Eagles,Super Bowl,0.6828087167070218,0.3171912832929782,413,No,No,18.0,Kansas City Chiefs,Yes,Yes,W
Baltimore Ravens,Week 1,0.5866050808314087,0.4133949191685912,433,No,No,-7.0,Kansas City Chiefs,No,Yes,L
Buffalo Bills,Week 1,0.5386996904024768,0.4613003095975232,323,No,Yes,6.0,Arizona Cardinals,No,No,W
Chicago Bears,Week 1,0.6217494089834515,0.3782505910165484,423,No,Yes,7.0,Tennessee Titans,No,No,W
Detroit Lions,Week 2,0.4974093264248704,0.5025906735751295,772,No,Yes,-4.0,Tampa Bay Buccaneers,No,No,L
Minnesota Vikings,Week 2,0.6804733727810651,0.3195266272189349,676,No,Yes,6.0,San Francisco 49ers,No,No,W
New Orleans Saints,Week 2,0.5442359249329759,0.4557640750670241,373,No,No,25.0,Dallas Cowboys,No,No,W
Philadelphia Eagles,Week 2,0.4176334106728538,0.5823665893271461,431,No,Yes,-1.0,Atlanta Falcons,No,Yes,L
Tampa Bay Buccaneers,Week 2,0.5584112149532711,0.441588785046729,2568,No,No,4.0,Detroit Lions,No,No,W
Baltimore Ravens,Week 3,0.4980314960629921,0.5019685039370079,508,No,No,3.0,Dallas Cowboys,No,No,W
Buffalo Bills,Week 3,0.7032967032967034,0.2967032967032967,91,No,Yes,37.0,Jacksonville Jaguars,No,Yes,W
Carolina Panthers,Week 3,0.6121134020618557,0.3878865979381443,776,No,No,14.0,Las Vegas Raiders,No,No,W
Cincinnati Bengals,Week 3,0.5489296636085627,0.4510703363914373,654,No,Yes,-5.0,Washington Commanders,No,Yes,L
Denver Broncos,Week 3,0.7134038800705468,0.2865961199294533,1134,No,No,19.0,Tampa Bay Buccaneers,No,No,W
Houston Texans,Week 3,0.267639902676399,0.732360097323601,822,No,No,-27.0,Minnesota Vikings,No,No,L
Jacksonville Jaguars,Week 3,0.4050279329608938,0.5949720670391061,358,No,No,-37.0,Buffalo Bills,No,Yes,L
Kansas City Chiefs,Week 3,0.6826196473551638,0.3173803526448362,794,No,No,5.0,Atlanta Falcons,No,Yes,W
New England Patriots,Week 3,0.6399456521739131,0.360054347826087,736,Yes,No,-21.0,New York Jets,No,Yes,L
New Orleans Saints,Week 3,0.8314065510597303,0.1685934489402697,2076,No,Yes,-3.0,Philadelphia Eagles,No,No,L
Philadelphia Eagles,Week 3,0.6132723112128147,0.3867276887871853,437,No,No,3.0,New Orleans Saints,No,No,W
Pittsburgh Steelers,Week 3,0.6828046744574291,0.3171953255425709,599,No,Yes,10.0,Los Angeles Chargers,No,No,W
Seattle Seahawks,Week 3,0.7754189944134078,0.2245810055865922,895,No,Yes,21.0,Miami Dolphins,No,No,W
Washington Commanders,Week 3,0.7162162162162162,0.2837837837837837,518,No,No,5.0,Cincinnati Bengals,No,Yes,W
Cincinnati Bengals,Week 4,0.6501814882032668,0.3498185117967332,2204,No,No,10.0,Carolina Panthers,No,No,W
Dallas Cowboys,Week 4,0.5369318181818182,0.4630681818181818,1056,Yes,No,5.0,New York Giants,No,Yes,W
Denver Broncos,Week 4,0.6886326194398682,0.3113673805601318,607,Yes,No,1.0,New York Jets,No,No,W
Las Vegas Raiders,Week 4,0.7115384615384616,0.2884615384615384,1248,No,Yes,4.0,Cleveland Browns,No,No,W
Los Angeles Chargers,Week 4,0.6879861711322386,0.3120138288677614,1157,Yes,Yes,-7.0,Kansas City Chiefs,No,No,L
New York Giants,Week 4,0.5576036866359447,0.4423963133640553,434,Yes,Yes,-5.0,Dallas Cowboys,No,Yes,L
Pittsburgh Steelers,Week 4,0.435630689206762,0.5643693107932379,769,No,No,-3.0,Indianapolis Colts,No,No,L
San Francisco 49ers,Week 4,0.791907514450867,0.2080924855491329,692,No,Yes,17.0,New England Patriots,No,No,W
Atlanta Falcons,Week 5,0.6816816816816816,0.3183183183183183,333,Yes,Yes,6.0,Tampa Bay Buccaneers,No,Yes,W
Buffalo Bills,Week 5,0.4349030470914127,0.5650969529085873,361,No,No,-3.0,Houston Texans,No,No,L
Denver Broncos,Week 5,0.6488222698072805,0.3511777301927195,934,Yes,Yes,16.0,Las Vegas Raiders,No,No,W
Houston Texans,Week 5,0.6217616580310881,0.3782383419689119,579,No,Yes,3.0,Buffalo Bills,No,No,W
Miami Dolphins,Week 5,0.5637254901960784,0.4362745098039216,612,Yes,No,5.0,New England Patriots,No,No,W
New Orleans Saints,Week 5,0.5251396648044693,0.4748603351955307,179,No,No,-13.0,Kansas City Chiefs,No,Yes,L
New York Jets,Week 5,0.4738154613466334,0.5261845386533666,401,No,Yes,-6.0,Minnesota Vikings,No,No,L
San Francisco 49ers,Week 5,0.4372037914691943,0.5627962085308057,844,Yes,Yes,-1.0,Arizona Cardinals,No,No,L
Arizona Cardinals,Week 6,0.6613462873004857,0.3386537126995142,1441,No,No,-21.0,Green Bay Packers,No,No,L
Atlanta Falcons,Week 6,0.7166212534059946,0.2833787465940054,367,Yes,No,18.0,Carolina Panthers,No,No,W
Detroit Lions,Week 6,0.6503340757238307,0.3496659242761692,2245,No,No,38.0,Dallas Cowboys,No,No,W
Houston Texans,Week 6,0.6573705179282868,0.3426294820717131,251,No,No,20.0,New England Patriots,No,No,W
New Orleans Saints,Week 6,0.4970873786407767,0.5029126213592233,515,Yes,Yes,-24.0,Tampa Bay Buccaneers,No,No,L
New York Jets,Week 6,0.4055415617128463,0.5944584382871536,397,Yes,Yes,-3.0,Buffalo Bills,No,Yes,L
Pittsburgh Steelers,Week 6,0.6111458985597996,0.3888541014402004,1597,No,No,19.0,Las Vegas Raiders,No,No,W
Tampa Bay Buccaneers,Week 6,0.6624472573839663,0.3375527426160337,474,Yes,No,24.0,New Orleans Saints,No,No,W
Tennessee Titans,Week 6,0.5277777777777778,0.4722222222222222,756,Yes,Yes,-3.0,Indianapolis Colts,No,No,L
Arizona Cardinals,Week 7,0.6137521222410866,0.3862478777589134,1178,No,Yes,2.0,Los Angeles Chargers,No,Yes,W
Atlanta Falcons,Week 7,0.6374745417515275,0.3625254582484725,491,No,Yes,-20.0,Seattle Seahawks,No,No,L
Cleveland Browns,Week 7,0.6691810344827587,0.3308189655172414,928,Yes,Yes,-7.0,Cincinnati Bengals,No,No,L
Kansas City Chiefs,Week 7,0.7048929663608563,0.2951070336391437,654,No,No,10.0,San Francisco 49ers,No,No,W
Las Vegas Raiders,Week 7,0.6342494714587738,0.3657505285412262,946,No,No,-5.0,Los Angeles Rams,No,No,L
Los Angeles Chargers,Week 7,0.3877159309021113,0.6122840690978887,521,No,No,-2.0,Arizona Cardinals,No,Yes,L
Tennessee Titans,Week 7,0.5422374429223744,0.4577625570776256,876,No,No,-24.0,Buffalo Bills,No,No,L
Baltimore Ravens,Week 8,0.4408352668213457,0.5591647331786543,431,Yes,No,-5.0,Cleveland Browns,No,No,L
Buffalo Bills,Week 8,0.6651162790697674,0.3348837209302325,860,No,No,21.0,Seattle Seahawks,No,No,W
Denver Broncos,Week 8,0.6833333333333333,0.3166666666666666,900,No,Yes,14.0,Carolina Panthers,No,No,W
Houston Texans,Week 8,0.6698412698412698,0.3301587301587301,630,Yes,Yes,3.0,Indianapolis Colts,No,No,W
Green Bay Packers,Week 9,0.5738758029978587,0.4261241970021413,467,Yes,Yes,-10.0,Detroit Lions,No,No,L
Houston Texans,Week 9,0.5450819672131147,0.4549180327868852,732,No,No,-8.0,New York Jets,No,Yes,L
Los Angeles Chargers,Week 9,0.7899686520376176,0.2100313479623824,319,No,No,17.0,Cleveland Browns,No,No,W
New England Patriots,Week 9,0.6161616161616161,0.3838383838383838,594,No,No,-3.0,Tennessee Titans,No,No,L
Washington Commanders,Week 9,0.7962962962962963,0.2037037037037037,540,Yes,No,5.0,New York Giants,No,No,W
Los Angeles Rams,Week 10,0.5558086560364465,0.4441913439635535,439,No,Yes,-8.0,Miami Dolphins,No,Yes,L
New England Patriots,Week 10,0.6490825688073395,0.3509174311926605,436,No,No,16.0,Chicago Bears,No,No,W
Pittsburgh Steelers,Week 10,0.7246543778801844,0.2753456221198156,868,No,No,1.0,Washington Commanders,No,No,W
Washington Commanders,Week 10,0.4916666666666666,0.5083333333333333,480,No,Yes,-1.0,Pittsburgh Steelers,No,No,L
Baltimore Ravens,Week 11,0.555032925682032,0.444967074317968,1063,Yes,No,-2.0,Pittsburgh Steelers,No,No,L
Chicago Bears,Week 11,0.4765432098765432,0.5234567901234568,405,Yes,Yes,-1.0,Green Bay Packers,No,No,L
Indianapolis Colts,Week 11,0.903666427030913,0.0963335729690869,1391,No,No,1.0,New York Jets,No,No,W
Kansas City Chiefs,Week 11,0.5874213836477987,0.4125786163522013,795,No,No,-9.0,Buffalo Bills,No,No,L
Los Angeles Chargers,Week 11,0.6872146118721462,0.3127853881278539,438,No,Yes,7.0,Cincinnati Bengals,No,Yes,W
Philadelphia Eagles,Week 11,0.5822784810126582,0.4177215189873418,395,Yes,Yes,8.0,Washington Commanders,No,Yes,W
Tennessee Titans,Week 11,0.5471204188481675,0.4528795811518324,1146,No,Yes,-10.0,Minnesota Vikings,No,No,L
Arizona Cardinals,Week 12,0.6923076923076923,0.3076923076923077,1053,Yes,No,-10.0,Seattle Seahawks,No,No,L
Baltimore Ravens,Week 12,0.758985200845666,0.241014799154334,946,No,No,7.0,Los Angeles Chargers,No,Yes,W
Denver Broncos,Week 12,0.6451612903225806,0.3548387096774194,558,Yes,No,10.0,Las Vegas Raiders,No,No,W
Detroit Lions,Week 12,0.7037037037037037,0.2962962962962963,675,No,No,18.0,Indianapolis Colts,No,No,W
Minnesota Vikings,Week 12,0.5954962468723937,0.4045037531276063,1199,Yes,No,3.0,Chicago Bears,No,No,W
Seattle Seahawks,Week 12,0.5950797872340425,0.4049202127659574,1504,Yes,Yes,10.0,Arizona Cardinals,No,No,W
Tennessee Titans,Week 12,0.7596439169139466,0.2403560830860534,337,Yes,No,5.0,Houston Texans,No,No,W
Arizona Cardinals,Week 13,0.6632653061224489,0.336734693877551,1862,No,No,-1.0,Minnesota Vikings,No,No,L
Buffalo Bills,Week 13,0.7751322751322751,0.2248677248677248,378,No,Yes,25.0,San Francisco 49ers,No,Yes,W
Carolina Panthers,Week 13,0.6348228043143297,0.3651771956856702,649,Yes,Yes,-3.0,Tampa Bay Buccaneers,No,No,L
Cincinnati Bengals,Week 13,0.4744623655913978,0.5255376344086021,744,Yes,Yes,-6.0,Pittsburgh Steelers,No,No,L
Cleveland Browns,Week 13,0.5905432595573441,0.4094567404426559,994,No,No,-9.0,Denver Broncos,No,Yes,L
Detroit Lions,Week 13,0.5245283018867924,0.4754716981132075,530,Yes,Yes,3.0,Chicago Bears,No,Yes,W
Green Bay Packers,Week 13,0.7569620253164557,0.2430379746835443,395,No,Yes,13.0,Miami Dolphins,No,Yes,W
Houston Texans,Week 13,0.5590885002649708,0.4409114997350291,1887,Yes,No,3.0,Jacksonville Jaguars,No,No,W
