Team,Week,PositiveRatio,NegativeRatio,TotalComments
Arizona Cardinals,Week 1,0.5600794438927508,0.4399205561072492,1007
Atlanta Falcons,Week 1,0.4929906542056075,0.5070093457943925,428
Carolina Panthers,Week 1,0.5651612903225807,0.4348387096774193,775
Cincinnati Bengals,Week 1,0.5298372513562387,0.4701627486437613,553
Cleveland Browns,Week 1,0.5853242320819113,0.4146757679180887,586
Dallas Cowboys,Week 1,0.6524752475247525,0.3475247524752475,1010
Denver Broncos,Week 1,0.5652777777777778,0.4347222222222222,720
Detroit Lions,Week 1,0.6334012219959266,0.3665987780040733,491
Green Bay Packers,Week 1,0.5456674473067916,0.4543325526932084,427
Houston Texans,Week 1,0.7393310265282583,0.2606689734717416,867
Indianapolis Colts,Week 1,0.5228452751817237,0.4771547248182762,1926
Jacksonville Jaguars,Week 1,0.4543325526932084,0.5456674473067916,427
Kansas City Chiefs,Week 1,0.7286432160804021,0.271356783919598,597
Las Vegas Raiders,Week 1,0.6364551863041289,0.3635448136958711,993
Los Angeles Chargers,Week 1,0.7324561403508771,0.2675438596491228,456
Los Angeles Rams,Week 1,0.5537848605577689,0.446215139442231,502
Miami Dolphins,Week 1,0.5066666666666667,0.4933333333333333,375
Minnesota Vikings,Week 1,0.6865728413845569,0.3134271586154431,2629
New England Patriots,Week 1,0.7110912343470484,0.2889087656529517,1118
New Orleans Saints,Week 1,0.7264150943396226,0.2735849056603773,106
New York Giants,Week 1,0.4401041666666667,0.5598958333333334,384
New York Jets,Week 1,0.562874251497006,0.437125748502994,501
Philadelphia Eagles,Week 1,0.6836027713625866,0.3163972286374134,433
Pittsburgh Steelers,Week 1,0.6301652892561983,0.3698347107438016,484
San Francisco 49ers,Week 1,0.6708333333333333,0.3291666666666666,480
Seattle Seahawks,Week 1,0.6983546617915904,0.3016453382084095,547
Tampa Bay Buccaneers,Week 1,0.6925795053003534,0.3074204946996466,283
Tennessee Titans,Week 1,0.5330188679245284,0.4669811320754717,636
Washington Commanders,Week 1,0.6747491638795987,0.3252508361204013,1196
Arizona Cardinals,Week 2,0.7583333333333333,0.2416666666666666,120
Atlanta Falcons,Week 2,0.7298701298701299,0.2701298701298701,385
Baltimore Ravens,Week 2,0.4592274678111588,0.5407725321888412,466
Buffalo Bills,Week 2,0.6909090909090909,0.3090909090909091,550
Carolina Panthers,Week 2,0.4002677376171352,0.5997322623828648,747
Chicago Bears,Week 2,0.4581395348837209,0.541860465116279,430
Cincinnati Bengals,Week 2,0.4908835904628331,0.5091164095371669,713
Cleveland Browns,Week 2,0.5924764890282131,0.4075235109717868,638
Dallas Cowboys,Week 2,0.4374282433983926,0.5625717566016073,871
Denver Broncos,Week 2,0.5857687420584498,0.4142312579415502,787
Houston Texans,Week 2,0.4910344827586207,0.5089655172413793,725
Indianapolis Colts,Week 2,0.7421768707482993,0.2578231292517007,1470
Jacksonville Jaguars,Week 2,0.5402298850574713,0.4597701149425287,87
Kansas City Chiefs,Week 2,0.6454248366013072,0.3545751633986928,612
Las Vegas Raiders,Week 2,0.7207207207207207,0.2792792792792792,444
Los Angeles Chargers,Week 2,0.5879659908436887,0.4120340091563113,1529
Los Angeles Rams,Week 2,0.4970414201183432,0.5029585798816568,169
Miami Dolphins,Week 2,0.5655296229802513,0.4344703770197486,557
Pittsburgh Steelers,Week 2,0.6280254777070063,0.3719745222929936,785
Seattle Seahawks,Week 2,0.6559633027522935,0.3440366972477064,654
Washington Commanders,Week 2,0.7262247838616714,0.2737752161383285,1041
Atlanta Falcons,Week 3,0.5013123359580053,0.4986876640419947,762
Chicago Bears,Week 3,0.5785536159600998,0.4214463840399002,401
Cleveland Browns,Week 3,0.4796116504854369,0.5203883495145631,515
Detroit Lions,Week 3,0.4605873261205564,0.5394126738794436,647
Green Bay Packers,Week 3,0.7349137931034483,0.2650862068965517,464
Indianapolis Colts,Week 3,0.4557932983447719,0.5442067016552281,2477
Las Vegas Raiders,Week 3,0.5994694960212201,0.4005305039787798,754
Los Angeles Chargers,Week 3,0.7362560890744607,0.2637439109255393,1437
Los Angeles Rams,Week 3,0.7387580299785867,0.2612419700214132,467
Miami Dolphins,Week 3,0.6202990484821024,0.3797009515178976,2207
Minnesota Vikings,Week 3,0.7559366754617414,0.2440633245382585,758
New York Giants,Week 3,0.6688034188034188,0.3311965811965812,468
New York Jets,Week 3,0.7627118644067796,0.2372881355932203,413
San Francisco 49ers,Week 3,0.4207746478873239,0.579225352112676,568
Tampa Bay Buccaneers,Week 3,0.5,0.5,440
Arizona Cardinals,Week 4,0.5579868708971554,0.4420131291028446,914
Baltimore Ravens,Week 4,0.7272727272727273,0.2727272727272727,649
Carolina Panthers,Week 4,0.6752688172043011,0.3247311827956989,465
Chicago Bears,Week 4,0.7571428571428571,0.2428571428571428,420
Cleveland Browns,Week 4,0.5458937198067633,0.4541062801932367,621
Detroit Lions,Week 4,0.65,0.35,700
Houston Texans,Week 4,0.5109090909090909,0.4890909090909091,1650
Indianapolis Colts,Week 4,0.608786610878661,0.3912133891213389,478
Jacksonville Jaguars,Week 4,0.7121346324180691,0.2878653675819309,1129
Kansas City Chiefs,Week 4,0.6937901498929336,0.3062098501070663,467
Miami Dolphins,Week 4,0.411214953271028,0.5887850467289719,749
Minnesota Vikings,Week 4,0.6087301587301587,0.3912698412698412,1260
New England Patriots,Week 4,0.5237580993520519,0.4762419006479482,926
New Orleans Saints,Week 4,0.518578352180937,0.481421647819063,619
Philadelphia Eagles,Week 4,0.416452442159383,0.583547557840617,389
Tennessee Titans,Week 4,0.5003219575016098,0.4996780424983902,1553
Washington Commanders,Week 4,0.6828358208955224,0.3171641791044776,536
Arizona Cardinals,Week 5,0.7747035573122529,0.225296442687747,253
Baltimore Ravens,Week 5,0.653211009174312,0.3467889908256881,545
Chicago Bears,Week 5,0.6476683937823834,0.3523316062176165,386
Cincinnati Bengals,Week 5,0.4074074074074074,0.5925925925925926,486
Green Bay Packers,Week 5,0.7213114754098361,0.2786885245901639,488
Indianapolis Colts,Week 5,0.3928571428571428,0.6071428571428571,1176
Jacksonville Jaguars,Week 5,0.6148282097649186,0.3851717902350813,553
Kansas City Chiefs,Week 5,0.7676190476190476,0.2323809523809523,525
Las Vegas Raiders,Week 5,0.5501543209876543,0.4498456790123457,1296
New England Patriots,Week 5,0.4655581947743468,0.5344418052256532,421
New York Giants,Week 5,0.752913752913753,0.247086247086247,429
Pittsburgh Steelers,Week 5,0.4668820678513732,0.5331179321486268,619
Seattle Seahawks,Week 5,0.4700193423597679,0.5299806576402321,517
Tampa Bay Buccaneers,Week 5,0.4436781609195402,0.5563218390804597,435
Washington Commanders,Week 5,0.7226027397260274,0.2773972602739726,292
Baltimore Ravens,Week 6,0.6764705882352942,0.3235294117647059,1462
Carolina Panthers,Week 6,0.8075601374570447,0.1924398625429553,291
Chicago Bears,Week 6,0.6925133689839572,0.3074866310160428,374
Denver Broncos,Week 6,0.584056399132321,0.4159436008676789,1844
Green Bay Packers,Week 6,0.6200873362445415,0.3799126637554585,687
Indianapolis Colts,Week 6,0.7078313253012049,0.2921686746987952,332
Jacksonville Jaguars,Week 6,0.4944812362030905,0.5055187637969095,453
Las Vegas Raiders,Week 6,0.771,0.229,1000
Los Angeles Chargers,Week 6,0.7130242825607064,0.2869757174392936,906
New York Giants,Week 6,0.5296703296703297,0.4703296703296703,455
Seattle Seahawks,Week 6,0.5619425173439049,0.4380574826560951,1009
Carolina Panthers,Week 7,0.6647196261682243,0.3352803738317757,856
Denver Broncos,Week 7,0.6670731707317074,0.3329268292682927,820
Detroit Lions,Week 7,0.5566343042071198,0.4433656957928802,618
Green Bay Packers,Week 7,0.6829787234042554,0.3170212765957447,470
Houston Texans,Week 7,0.356234096692112,0.6437659033078881,786
Indianapolis Colts,Week 7,0.5405807892777365,0.4594192107222636,1343
Jacksonville Jaguars,Week 7,0.7995951417004049,0.2004048582995951,494
Los Angeles Rams,Week 7,0.7045454545454546,0.2954545454545454,264
Miami Dolphins,Week 7,0.3816155988857939,0.6183844011142061,359
Minnesota Vikings,Week 7,0.522911051212938,0.477088948787062,371
New England Patriots,Week 7,0.5520169851380042,0.4479830148619957,471
New Orleans Saints,Week 7,0.4424460431654676,0.5575539568345323,556
New York Giants,Week 7,0.505720823798627,0.494279176201373,437
New York Jets,Week 7,0.5060728744939271,0.4939271255060729,494
Philadelphia Eagles,Week 7,0.6725838264299803,0.3274161735700197,507
Pittsburgh Steelers,Week 7,0.6872727272727273,0.3127272727272727,550
San Francisco 49ers,Week 7,0.6546762589928058,0.3453237410071942,834
Seattle Seahawks,Week 7,0.568955223880597,0.431044776119403,1675
Tampa Bay Buccaneers,Week 7,0.4720194647201946,0.5279805352798054,411
Arizona Cardinals,Week 8,0.6693227091633466,0.3306772908366533,251
Atlanta Falcons,Week 8,0.5910780669144982,0.4089219330855018,538
Chicago Bears,Week 8,0.3969849246231156,0.6030150753768844,398
Dallas Cowboys,Week 8,0.5495934959349593,0.4504065040650406,615
Detroit Lions,Week 8,0.7057728119180633,0.2942271880819367,537
Indianapolis Colts,Week 8,0.4163265306122449,0.5836734693877551,735
Kansas City Chiefs,Week 8,0.5893271461716937,0.4106728538283062,431
Las Vegas Raiders,Week 8,0.5102040816326531,0.4897959183673469,245
Los Angeles Chargers,Week 8,0.6256983240223464,0.3743016759776536,358
Los Angeles Rams,Week 8,0.6425531914893617,0.3574468085106383,470
Miami Dolphins,Week 8,0.5415472779369628,0.4584527220630373,349
Minnesota Vikings,Week 8,0.4506578947368421,0.5493421052631579,608
New England Patriots,Week 8,0.454172366621067,0.5458276333789329,731
New Orleans Saints,Week 8,0.5306122448979592,0.4693877551020408,98
New York Giants,Week 8,0.6287787182587666,0.3712212817412333,827
Philadelphia Eagles,Week 8,0.6368159203980099,0.36318407960199,402
Pittsburgh Steelers,Week 8,0.7607802874743327,0.2392197125256673,974
San Francisco 49ers,Week 8,0.5850340136054422,0.4149659863945578,588
Seattle Seahawks,Week 8,0.5411954765751211,0.4588045234248788,619
Tampa Bay Buccaneers,Week 8,0.6731866340668297,0.3268133659331703,1227
Tennessee Titans,Week 8,0.5094339622641509,0.490566037735849,583
Arizona Cardinals,Week 9,0.6258351893095768,0.3741648106904232,449
Baltimore Ravens,Week 9,0.5977808599167822,0.4022191400832177,721
Buffalo Bills,Week 9,0.5957446808510638,0.4042553191489361,423
Chicago Bears,Week 9,0.3430851063829787,0.6569148936170213,376
Cincinnati Bengals,Week 9,0.6926345609065155,0.3073654390934844,706
Cleveland Browns,Week 9,0.6420545746388443,0.3579454253611557,1246
Denver Broncos,Week 9,0.7142857142857143,0.2857142857142857,1211
Indianapolis Colts,Week 9,0.5845864661654135,0.4154135338345864,532
Jacksonville Jaguars,Week 9,0.4619047619047619,0.5380952380952381,420
Las Vegas Raiders,Week 9,0.6830357142857143,0.3169642857142857,448
Miami Dolphins,Week 9,0.5414364640883977,0.4585635359116022,362
Minnesota Vikings,Week 9,0.6939252336448598,0.3060747663551402,856
New York Giants,Week 9,0.5552486187845304,0.4447513812154696,362
Philadelphia Eagles,Week 9,0.5338345864661654,0.4661654135338345,399
Tampa Bay Buccaneers,Week 9,0.45610278372591,0.5438972162740899,467
Atlanta Falcons,Week 10,0.502283105022831,0.4977168949771689,876
Baltimore Ravens,Week 10,0.5517241379310345,0.4482758620689655,667
Buffalo Bills,Week 10,0.4200863930885529,0.5799136069114471,926
Carolina Panthers,Week 10,0.7908902691511387,0.2091097308488612,483
Chicago Bears,Week 10,0.4096692111959287,0.5903307888040712,393
Cincinnati Bengals,Week 10,0.4719298245614035,0.5280701754385965,570
Dallas Cowboys,Week 10,0.4789644012944983,0.5210355987055016,618
Denver Broncos,Week 10,0.4322469982847341,0.5677530017152659,583
Detroit Lions,Week 10,0.5568181818181818,0.4431818181818182,352
Houston Texans,Week 10,0.3734290843806104,0.6265709156193896,557
Indianapolis Colts,Week 10,0.4850498338870432,0.5149501661129569,301
Jacksonville Jaguars,Week 10,0.4690346083788707,0.5309653916211293,1098
Kansas City Chiefs,Week 10,0.647450110864745,0.352549889135255,451
Los Angeles Chargers,Week 10,0.756993006993007,0.243006993006993,572
Miami Dolphins,Week 10,0.476056338028169,0.523943661971831,355
Minnesota Vikings,Week 10,0.570855614973262,0.4291443850267379,748
New York Giants,Week 10,0.571078431372549,0.4289215686274509,408
New York Jets,Week 10,0.5102739726027398,0.4897260273972603,584
Philadelphia Eagles,Week 10,0.7343976777939042,0.2656023222060958,689
San Francisco 49ers,Week 10,0.5,0.5,840
Tennessee Titans,Week 10,0.5410447761194029,0.458955223880597,1608
Atlanta Falcons,Week 11,0.5641025641025641,0.4358974358974359,273
Buffalo Bills,Week 11,0.7174887892376681,0.2825112107623318,446
Cincinnati Bengals,Week 11,0.6068965517241379,0.3931034482758621,725
Cleveland Browns,Week 11,0.5337423312883436,0.4662576687116564,1304
Dallas Cowboys,Week 11,0.5893970893970893,0.4106029106029106,962
Denver Broncos,Week 11,0.6445497630331753,0.3554502369668246,1266
Detroit Lions,Week 11,0.5841059602649007,0.4158940397350993,755
Green Bay Packers,Week 11,0.6644591611479028,0.3355408388520971,453
Houston Texans,Week 11,0.5211726384364821,0.4788273615635179,307
Las Vegas Raiders,Week 11,0.7092511013215859,0.2907488986784141,227
Los Angeles Rams,Week 11,0.6770833333333334,0.3229166666666667,192
New York Jets,Week 11,0.5136476426799007,0.4863523573200992,403
Seattle Seahawks,Week 11,0.6444444444444445,0.3555555555555555,495
Washington Commanders,Week 11,0.4804063860667634,0.5195936139332366,689
Carolina Panthers,Week 12,0.6633663366336634,0.3366336633663366,1616
Chicago Bears,Week 12,0.5845070422535211,0.4154929577464789,426
Cleveland Browns,Week 12,0.6978021978021978,0.3021978021978022,546
Dallas Cowboys,Week 12,0.7372577171572147,0.2627422828427853,1393
Green Bay Packers,Week 12,0.7386609071274298,0.2613390928725702,463
Houston Texans,Week 12,0.3752212389380531,0.6247787610619469,565
Indianapolis Colts,Week 12,0.5508317929759704,0.4491682070240296,541
Kansas City Chiefs,Week 12,0.6048951048951049,0.3951048951048951,572
Las Vegas Raiders,Week 12,0.6425339366515838,0.3574660633484163,221
New York Giants,Week 12,0.614138438880707,0.3858615611192931,679
Philadelphia Eagles,Week 12,0.5885558583106267,0.4114441416893733,367
Pittsburgh Steelers,Week 12,0.4756995581737849,0.524300441826215,679
Baltimore Ravens,Week 13,0.573394495412844,0.4266055045871559,872
Denver Broncos,Week 13,0.6075036075036075,0.3924963924963925,693
Miami Dolphins,Week 13,0.4369973190348525,0.5630026809651475,373
New York Giants,Week 13,0.5427927927927928,0.4572072072072072,888
San Francisco 49ers,Week 13,0.484240687679083,0.5157593123209169,1047
Chicago Bears,Week 14,0.4778947368421052,0.5221052631578947,475
Jacksonville Jaguars,Week 14,0.791015625,0.208984375,512
Miami Dolphins,Week 14,0.3269230769230769,0.6730769230769231,52
Minnesota Vikings,Week 14,0.8353151010701546,0.1646848989298454,1682
New Orleans Saints,Week 14,0.6949152542372882,0.3050847457627119,118
New York Giants,Week 14,0.711738484398217,0.288261515601783,673
Pittsburgh Steelers,Week 14,0.3153988868274582,0.6846011131725418,1078
Seattle Seahawks,Week 14,0.5736040609137056,0.4263959390862944,985
Tampa Bay Buccaneers,Week 14,0.8394276629570747,0.1605723370429252,629
Tennessee Titans,Week 14,0.6251862891207154,0.3748137108792846,1342
Atlanta Falcons,Week 15,0.5397111913357401,0.4602888086642599,554
Baltimore Ravens,Week 15,0.4387755102040816,0.5612244897959183,196
Buffalo Bills,Week 15,0.5914149443561209,0.4085850556438791,629
Chicago Bears,Week 15,0.5047438330170778,0.4952561669829222,527
Dallas Cowboys,Week 15,0.7585089141004863,0.2414910858995137,617
Detroit Lions,Week 15,0.6503164556962026,0.3496835443037974,632
Houston Texans,Week 15,0.7124563445867288,0.2875436554132712,859
Indianapolis Colts,Week 15,0.6439732142857143,0.3560267857142857,896
New England Patriots,Week 15,0.6451612903225806,0.3548387096774194,2201
Seattle Seahawks,Week 16,0.5502873563218391,0.4497126436781609,696
Tampa Bay Buccaneers,Week 16,0.6198581560283688,0.3801418439716312,705
Tennessee Titans,Week 16,0.5623188405797102,0.4376811594202898,2415
Washington Commanders,Week 16,0.6244725738396625,0.3755274261603376,474
Arizona Cardinals,Week 17,0.6177606177606177,0.3822393822393822,1295
Atlanta Falcons,Week 17,0.4275184275184275,0.5724815724815725,407
Baltimore Ravens,Week 17,0.6717948717948717,0.3282051282051282,195
Buffalo Bills,Week 17,0.6847034339229969,0.3152965660770031,961
Carolina Panthers,Week 17,0.8679950186799502,0.1320049813200498,803
Chicago Bears,Week 17,0.3508771929824561,0.6491228070175439,399
Cincinnati Bengals,Week 17,0.5798045602605864,0.4201954397394137,921
Cleveland Browns,Week 17,0.6976351351351351,0.3023648648648648,1776
Dallas Cowboys,Week 17,0.662613981762918,0.3373860182370821,329
Denver Broncos,Week 17,0.4949899799599198,0.5050100200400801,499
Detroit Lions,Week 17,0.6441947565543071,0.3558052434456928,534
Green Bay Packers,Week 17,0.6207674943566591,0.3792325056433409,443
Houston Texans,Week 17,0.5742904841402338,0.4257095158597663,599
Indianapolis Colts,Week 17,0.5534407027818448,0.4465592972181552,683
Jacksonville Jaguars,Week 17,0.6346749226006192,0.3653250773993808,323
Kansas City Chiefs,Week 17,0.7221633085896076,0.2778366914103923,943
Las Vegas Raiders,Week 17,0.5930568948891032,0.4069431051108968,1037
Los Angeles Chargers,Week 17,0.3830188679245283,0.6169811320754717,530
Los Angeles Rams,Week 17,0.4626865671641791,0.5373134328358209,469
Miami Dolphins,Week 17,0.4874651810584958,0.5125348189415042,359
Minnesota Vikings,Week 17,0.6765067650676507,0.3234932349323493,813
New England Patriots,Week 17,0.5622489959839357,0.4377510040160642,498
New Orleans Saints,Week 17,0.701195219123506,0.298804780876494,251
New York Giants,Week 17,0.4949748743718593,0.5050251256281407,398
New York Jets,Week 17,0.6364251861882194,0.3635748138117806,1477
Philadelphia Eagles,Week 17,0.5963060686015831,0.4036939313984168,379
Pittsburgh Steelers,Week 17,0.5746388443017657,0.4253611556982343,623
San Francisco 49ers,Week 17,0.6528046421663443,0.3471953578336557,1034
Seattle Seahawks,Week 17,0.63718820861678,0.3628117913832199,441
Tampa Bay Buccaneers,Week 17,0.5841121495327103,0.4158878504672897,214
Tennessee Titans,Week 17,0.6658536585365854,0.3341463414634146,410
Washington Commanders,Week 17,0.6229885057471264,0.3770114942528735,435
Arizona Cardinals,Week 18,0.6027397260273972,0.3972602739726027,73
Atlanta Falcons,Week 18,0.5277777777777778,0.4722222222222222,396
Pittsburgh Steelers,WIld Card,0.5668549905838042,0.4331450094161959,531
Tampa Bay Buccaneers,WIld Card,0.5798816568047337,0.4201183431952662,845
Washington Commanders,WIld Card,0.6452905811623246,0.3547094188376753,499
Baltimore Ravens,Division,0.4668949771689498,0.5331050228310502,876
Buffalo Bills,Division,0.7754010695187166,0.2245989304812834,561
Detroit Lions,Division,0.5480916030534351,0.4519083969465648,655
Houston Texans,Division,0.5188834154351396,0.4811165845648604,609
Kansas City Chiefs,Division,0.6149532710280374,0.3850467289719626,535
Los Angeles Rams,Division,0.5447470817120622,0.4552529182879377,514
Philadelphia Eagles,Division,0.6273584905660378,0.3726415094339622,424
Washington Commanders,Division,0.7484787018255578,0.2515212981744422,493
Buffalo Bills,Championship,0.4248927038626609,0.575107296137339,699
